Date,TTWO,AAPL,HSBA.L,SPY
2023-07-20,151.63999938964844,192.8695526123047,810.4644390637208,452.17999267578125
2023-07-21,149.9600067138672,191.68116760253906,812.1693614709473,452.17999267578125
2023-07-24,150.27999877929688,192.4900665283203,811.2140952856445,454.20001220703125
2023-07-25,151.02999877929688,193.35888671875,818.0723063763428,455.44000244140625
2023-07-26,150.25,194.23770141601562,820.5507299865723,455.510009765625
2023-07-27,149.85000610351562,192.9594268798828,808.8884430175781,452.489990234375
2023-07-28,151.60000610351562,195.56591796875,817.7005460559081,456.9200134277344
2023-07-31,152.94000244140625,196.18507385253906,816.4958463867188,457.7900085449219
2023-08-01,151.7899932861328,195.34620666503906,824.2536569274902,456.4800109863281
2023-08-02,147.22000122070312,192.32029724121094,796.840890916748,450.1300048828125
2023-08-03,145.75,190.91220092773438,799.5296771411133,448.8399963378906
2023-08-04,142.17999267578125,181.7445831298828,798.3262909423828,446.80999755859375
2023-08-07,141.17999267578125,178.6088104248047,810.2169766845703,450.7099914550781
2023-08-08,140.13999938964844,179.55752563476562,795.9744873034667,448.75
2023-08-09,139.39999389648438,177.94970703125,796.0842,445.75
2023-08-10,138.4600067138672,177.72999572753906,801.07264,445.9100036621094
2023-08-11,140.1999969482422,177.7899932861328,793.1211045043946,445.6499938964844
2023-08-14,142.3800048828125,179.4600067138672,788.254665,448.1099853515625
2023-08-15,139.50999450683594,177.4499969482422,762.3629754974365,442.8900146484375
2023-08-16,140.27000427246094,176.57000732421875,750.8507724597168,439.6400146484375
2023-08-17,138.0800018310547,174.0,755.0908431188965,436.2900085449219
2023-08-18,137.4600067138672,174.49000549316406,743.3047310791015,436.5
2023-08-21,139.55999755859375,175.83999633789062,743.9933014300537,439.3399963378906
2023-08-22,140.47999572753906,177.22999572753906,739.0515149230957,438.1499938964844
2023-08-23,144.5500030517578,181.1199951171875,743.7135364758301,443.0299987792969
2023-08-24,139.66000366210938,176.3800048828125,742.4957182287598,436.8900146484375
